,Theme,Company
71,렘데시비르,"['파미셀', '뉴지랩', 'SK케미칼', '제일약품', '진원생명과학', '신풍제약', '에스티팜', '엑세스바이오', '에이프로젠제약', '바이오니아', '엔지켐생명과학', 'SK하이닉스', '부광약품', '한올바이오파마']"
72,로봇,"['로보티즈', '로보스타', '휴림로봇', '로보로보']"
73,리츠,"['이리츠코크렙', '신한알파리츠', '에이리츠', '모두투어리츠', 'NH프라임리츠', '롯데리츠']"
74,마리화나,"['오성첨단소재', '뉴프라이드']"
75,마스크,"['레몬', '케이엠', '오공', '모나리자', '깨끗한나라', '웰크론', '쌍방울']"
76,마이크로바이옴,['코오롱생명과학']
77,말라리아,['신풍제약']
78,메트포르민,"['대한뉴팜', '신풍제약', '대웅제약']"
79,면세점,"['호텔신라', '하나투어', '신세계', '토니모리', '글로벌텍스프리']"
80,면역세포치료제,"['신라젠', '제넥신', '녹십자셀']"
81,면역항암제,"['에이비엘바이오', '녹십자랩셀', '앱클론', '크리스탈', '이수앱지스', '셀리드', '메드팩토', '티움바이오', '큐리언트', '인콘', '에스티큐브', '유틸렉스', '엔케이맥스', '한올바이오파마']"
82,무선충전기술,"['켐트로닉스', '삼성전기', 'LG이노텍', '삼성전자', '한솔테크닉스', '이랜텍', '알에프텍']"
83,무인기기,['한국전자금융']
84,미세먼지,"['웰크론', '위닉스', '유안타증권', 'KC코트렐', '오공', '케이엠', '에스앤씨엔진그룹', '한국콜마', '명성티엔에스', '테라젠이텍스', '하츠']"
85,바이오,"['이지바이오', '제일바이오', '오스테오닉', '셀트리온제약', '알테오젠', '젬백스링크', '녹십자랩셀', '레고켐바이오', '헬릭스미스', '신라젠', '키움증권']"
86,바이오시밀러,"['에이프로젠제약', '한올바이오파마', '제넥신', '이수앱지스', '큐브앤컴퍼니', '한미약품', '셀트리온']"
87,바이오의약품,"['이수앱지스', '대웅제약', '한미약품', '알테오젠', '셀트리온']"
88,반도체,"['텔레칩스', '고려시멘트', '삼성전자', '유니테스트', 'SK하이닉스', 'SK', '네패스', '한화시스템', 'DB하이텍', '테스', '원익IPS', '케이씨텍', '동진쎄미켐', '후성', '램테크놀러지']"
89,반일,['모나미']
90,밥솥,"['윌링스', '어보브반도체', 'PN풍년', '쿠쿠홀딩스']"
91,방사광가속기,"['다원시스', '비츠로테크']"
92,방산,"['한일단조', '스페코', '빅텍']"
93,방역,"['이글벳', '제일바이오', '파루']"
94,방위산업,"['한화시스템', '웰크론', 'LIG넥스원', 'STX엔진', 'DMS', '한화', '풍산', '빅텍', '퍼스텍', '삼영이엔씨', '한국항공우주', '미래아이앤지', '한화에어로스페이스', '포메탈', '스페코']"
95,방탄소년단,"['키이스트', '넷마블', '디피씨', '드림어스컴퍼니', '손오공', ‘브이티지엠피', '엘비세미콘', '초록뱀']"
96,백신,"['신풍제약', 'SK케미칼', '바디텍메드', '오공', '부광약품', '랩지노믹스', '바이오니아', '수젠텍', '씨젠', '파미셀', '피씨엘', '일양약품', '코미팜', '중앙백신', '제일바이오', '씨티씨바이오', '우진비앤지', '모나리자', '웰크론', '체시스', '파루', '진매트릭스', '진원생명과학']"
97,백화점,"['대구백화점', '베뉴지', '롯데쇼핑', '신세계', '현대백화점', '광주신세계', 'CJ']"
98,보건위생,['진매트릭스']
99,보톡스,"['제테마', '휴젤', '메디톡스', '휴온스글로벌', '대웅제약']"
100,보툴리눔톡신,"['휴젤', '제테마', '대웅제약', '디에스케이', '메디톡스', '휴온스', '파마리서치프로덕트', '휴온스글로벌']"
101,분유,"['매일유업', '남양유업']"
102,불화수소,['SK머티리얼즈']
103,블록체인,"['케이사인', '주연테크', '팍스넷', '드림시큐리티', '라온시큐어', '데일리블록체인', '글로스퍼랩스']"
104,비료,"['KG케미칼', '카프로', '우진비앤지', '체시스', '조비', '효성오앤비']"
105,비메모리,"['삼성전자', '원익IPS', '에스앤에스텍']"
106,비철금속,"['국일신동', '대유플러스', '코센', '남선알미늄', '서원', '이구산업']"
107,빅데이터,['오픈베이스']
108,사료,"['씨티씨바이오', '우진비앤지', '미래생명자원', '대한제당', '케이씨피드', '현대사료', '사조동아원', '한일사료', '고려산업', '이지바이오', '팜스토리', '팜스코', '한탑']"
109,사물인터넷,"['이에스브이', '이그잭스', '유비쿼스', '엔텔스', '링네트', '오픈베이스', '에이디테크놀로지', '핸디소프트', '이아이디']"
110,삼성페이,"['이그잭스', '한국정보통신', '한솔테크닉스']"
111,생명보험,"['미래에셋생명', '삼성생명', '동양생명', '코리안리', '한화생명']"
112,생체인식,"['젬백스링크', '젬백스', '슈프리마', '동운아나텍', '코렌', '해성옵틱스', '드림텍', '에프에스티', '퍼스텍', '드림시큐리티', '멜파스']"
113,석유,"['극동유화', '흥구석유', 'SH에너지화학', '중앙에너비스', '배럴', '모토닉', 'SKC', '태광산업', '한진중공업', 'GS', 'SK이노베이션', 'KPX케미칼', '에쎈테크', '대우조선해양', '현대미포조선', 'SK가스']"
114,석유화학,"['SKC', 'LG화학', '태광산업', '효성화학', '동성화학', '롯데케미칼', 'SK이노베이션', '흥구석유']"
115,세포치료제,['녹십자랩셀']
