,theme,vector
161,LBS,"[ -6544.80527174 -19775.83381381   7296.73370715  15586.06898283
  10011.70348446   5588.92221235   2407.97767601 -11076.89401726
  -5849.23955804   3578.12743093   9244.69259021   2476.86735313
   8746.73478528   3804.46314569  -9074.56124108  15925.81181244
   3638.96856934  -5858.13391916  16246.51187901   9501.56214489
  -7614.71329443   6816.18553611    884.41866159  -3246.15458242
  11098.37247056  -5127.88538615  -5307.88206722  10006.49611017
   5553.83809008  -4053.0754007   11319.59631433    935.97705411
  12423.04503425  -2669.41074738  10856.55708417  -4804.46299852
   6941.81828184   4484.11245594    -35.61786879   7241.60822992
 -15518.6953476   -8033.98977316   9309.28815813 -15058.02446284
    561.72110624   6993.97987106  -9320.99050886   2060.3514748
   6787.52127453  -4524.22584678   1026.91533882  -9012.27855066
   3579.6310333   -8378.12498698  -5535.89736974   1608.83102974
  15180.392542     3745.48438248   9089.46032789 -20262.53837165
  -1636.29051413 -15481.84025944    493.99993984  -3125.77513047
 -10390.65451946  23757.5721986   -7350.5665175    3281.45788155
  12312.12764349  -6969.29141962  -3474.96008429 -10610.08277831
   1120.45128054  15674.61942744  12787.9675302   -4809.24823607
 -16212.29176475  -2741.3438197   10031.47462792   4384.82550549
 -10408.83649951  -4373.750406    -3539.59518432   -248.72077585
   3462.00091689   6221.04814054 -15136.67147079 -15171.76521515
  -5597.84597588  14393.88036521   7897.90530876 -11154.19350789
  -1226.87906193   7499.82385216    -87.87007449   4647.67239542
   5085.95317582  10465.22766885  -1840.58346997   2486.54863497]"
162,태양광,"[-1.46599539e+03 -1.76088094e+04  2.05063957e+03  2.30158924e+04
  1.55997254e+04  1.35729909e+04  3.55015202e+03 -2.48110308e+04
  6.21003138e+03  2.31498776e+04  1.44752822e+04  2.33042251e+03
  1.35929124e+04  5.18504868e+03 -5.16053156e+03  4.92111863e+03
  7.75000235e+03 -3.99229407e+02  1.69649878e+04  1.33471897e+04
 -4.49061542e+02 -6.82375370e+03 -2.59276631e+03 -9.83806812e+03
 -1.18386269e+03  2.79548034e+03 -7.97662275e+03  1.50474316e+04
  1.48272608e+04 -2.00219112e+04  5.77174406e+03  1.77823704e+03
 -1.32902336e+03 -7.53064710e+03  7.44833054e+03 -1.21214907e+04
  1.56480555e+04 -5.36516973e+03 -2.52429475e+02  1.44617532e+04
 -2.13839073e+04  7.89054432e+03  8.02979412e+03 -1.76491365e+04
  9.94431717e+03  1.66133525e+04 -1.48039478e+04  8.90365468e+03
 -1.23654343e+04 -1.01519200e+04  7.81348171e+03 -1.32197895e+04
  4.23342421e+03 -1.75355237e+03 -2.86224968e+03  1.33031738e+04
  6.70903022e+03 -6.16926106e+03  9.25902407e+03 -1.48982089e+04
  2.39388884e+03 -2.01253742e+04 -3.90667822e+03 -9.38219174e+03
  2.29482139e+03  1.81638109e+04  1.16128863e+04  4.87445077e+03
  9.77336440e+03  2.98505298e+03 -7.65600352e+03 -1.26931805e+04
 -1.71126869e+02  1.20724765e+04  1.68468222e+04  1.66122352e+03
 -7.81758933e+03 -5.23621773e+01  1.38884529e+04  1.49266351e+03
 -1.07438611e+04  8.44674749e+03 -1.15205114e+04  2.08256045e-01
 -3.81909815e+03  5.95574975e+03  2.04915575e+03 -2.63230975e+04
 -3.64597564e+03  7.99099931e+03  1.45908287e+04 -1.11059494e+04
  3.98418249e+03 -5.30227749e+03 -1.11640121e+04  1.59859920e+03
  1.00756324e+03  1.64296578e+04  3.87026527e+03  1.19592547e+04]"
163,흑사병,"[-2.94071232e+04 -2.59367702e+04  2.86270591e+03 -1.66825805e+03
  7.45284373e+02  1.69094513e+04 -1.17385994e+04 -1.75485970e+04
 -2.55090010e+03 -2.16687021e+04 -6.62860879e+03  1.16724783e+04
  8.55253395e+03  5.49660487e+03 -2.43085404e+04  1.45600673e+04
  6.93772368e+03  6.24384866e+03  1.70299024e+04  1.42476782e+03
  4.23237500e+03  4.94561223e+03 -2.15626752e+04  1.64041791e+04
  1.93284750e+04 -2.60398212e+03 -1.21004090e+04  2.99193315e+03
  3.04577503e+04 -1.87834753e+04  1.50996049e+04  1.70617699e+04
  5.88598310e+04 -1.88766139e+04  2.21668331e+04  7.56415965e+03
  2.63821472e+04  2.88938453e+04  2.40729462e+04  2.22611191e+04
 -2.93281012e+04 -3.92339650e+04  2.32547842e+04 -2.19370052e+04
 -3.35722284e+04  4.91945273e+03 -5.79021640e+03 -2.39296603e+04
  3.98701769e+03  5.77701876e+03  2.95955055e+03  1.71863627e+04
 -2.00301409e+04  1.54952030e+04  3.85450256e+03 -1.70779443e+04
  2.81877730e+04 -7.13912582e+03  2.26257304e+04 -4.02671475e+04
  1.77939052e+04 -4.79311832e+02  1.04979661e+04 -5.20406129e+03
 -4.05279818e+04  2.20897681e+04  3.63751563e+03  1.96552718e+04
 -1.74874846e+04  1.07442563e+04 -8.39131953e+03 -3.34817262e+04
 -2.02199733e+04  3.89511048e+04  1.99138489e+04  9.12821004e+03
 -2.92998415e+04  2.66875790e+04 -2.48736367e+04  6.77868509e+03
 -2.11748862e+04 -3.35538840e+04 -5.29724454e+03  2.03706614e+04
  1.22263092e+04 -9.09092104e+03 -3.49994713e+04 -2.27521884e+04
 -7.72992607e+02  3.44907499e+03 -6.13126627e+02 -2.06634624e+04
  2.60041218e+04 -9.43113507e+03 -6.94135878e+03  6.30972590e+03
  2.98547977e+03  2.10714094e+04  5.12097281e+01 -2.49886042e+04]"
164,미세먼지,"[ -9901.5630478  -18375.03927599   -196.99119234  10245.57579765
   6930.36408213   8963.03947125  -1014.56178036 -14682.06196606
  -3365.09923182     87.38123829  13235.08512466   3006.85607008
   8389.97550894   3152.32662883  -6864.47710393   8920.78430914
   3621.818464     1938.44223051  16421.62711174   -651.96319802
  -4148.45535414  -4660.77307102   -541.66586542   2058.36397949
   3479.53232044   -179.47327202  -1048.29051322   1402.76446451
  16149.43676052 -11746.89407925   7280.36043358   2001.14318947
   9388.65218259  -6783.81375316   7609.08606791  -2505.34045153
   5020.70757124  -4879.10867042   2047.33301112  10745.82497805
 -16612.55917144  -2812.46314136  15248.6004228   -6376.89876951
   7585.07767441  16872.92446622 -15896.53634348   2124.51687666
  16336.93668911   4112.01194938   6065.97012001  -4364.4392444
  -2295.04781613   7209.17431926    433.81434965  -5016.59276008
   4849.69351738   -534.69461032   5855.70840947 -19142.35423316
   3137.00883634 -14768.53540922    283.21215839  -2858.00701402
  -7980.08254512   7177.72475977   5588.62766376   3020.31468533
   3422.90723474  -8507.74729337  -4008.3007435   -8161.82222513
  -3015.44023092   7543.08666512  13249.45622199     71.03878229
 -11022.80846586   3781.99808691  -1499.47344715  -8201.83097258
  -1374.37895381  -5021.04822277  -9001.22295239   2485.5928107
   6844.03669549  -4333.45493355  -4093.51887645 -13716.85687408
  -9131.91746105   -789.64552867   4988.74546079  -7796.30158021
   4898.81795777   3688.52581535   -981.71021217    928.06606639
   4817.56134211   4870.32574292  -3116.51784161  -7759.54863253]"
165,돼지열병,"[ -8788.34066374 -17719.43477553  -4109.08396822   6326.89439794
  11072.35034667   9500.24716849 -15528.546142   -16867.47280767
   7241.30746674   4637.79688121   2815.29955223   5110.90538572
   2928.08906978   5233.2264387   -1827.60564324   3514.40673692
   1372.63012927  -4656.69966928   1034.47017368    480.77211495
   2849.69621928  -8310.09748039 -20140.92754288   7414.43568269
   8682.3565763   -8702.19217456   3192.05880817   6508.92834924
  19932.57980078  -6488.83707345  -4384.62097537   1210.64027601
  10757.3998402     650.17752655   8003.37131185   3248.68461629
   3883.23552782   7900.25619146  15892.02248894   8447.46809185
 -20835.92005829   4399.0986927   12226.06554985   3147.65818193
   1320.48872006  13225.26557303 -17197.8723125    2328.4272154
   7730.80654524  16605.19840747  10192.54074492   7246.72982143
  -8035.77025301   6426.98047063   4679.17353494   1289.93491214
   5695.93268051  -1694.86586266   -553.40228155 -21945.32345808
   4244.13836433 -16289.69694609  -5592.93692644  -5764.2867824
  -8289.64410925   -887.28857133   9467.40649149  -6915.1287428
   -817.76594354   7304.40692649   -767.98247461  -4365.18550536
  -6902.4411629    5828.80128716  13115.44006604   6050.17756904
  -6397.33938515   9517.5101491   -7696.92218453  -8304.48425021
  -6330.4094753  -10035.39964226 -11162.17960951   6272.19227467
  -1273.63413897  -1382.94131912 -13836.83557378 -12177.75380856
  -4522.76971684   6202.48161989   9029.07039015 -11486.29407913
  11377.05800168    348.38814221    108.98355686  -2464.93265227
  10238.10649992   3506.68441881  -3881.57921473 -15171.77384865]"
166,4대강,"[-14788.28948223  -9781.84339372  16268.00086183  23292.26083695
   4686.51502263  13537.74258765  -1882.42115315 -20028.32989476
  -1357.61313391   -998.08637455   1606.80758558  15865.031195
  -1268.67293097   5957.67400828 -11084.08530194   5393.37452628
    886.78541701  -6578.28584815  19270.80104068   -692.89772359
  -2796.58985891  -1963.53087423 -21885.69562231  -2022.21412176
  10503.84668045   1732.1689462   -6132.14250851  -1490.68192327
  25253.97825943 -19115.56695157   9057.61225695   6477.94821827
  13686.647343    -5218.77545355   8491.6550586  -13204.30484271
  11125.47286448    747.29403846   4939.60823052  14597.37782906
 -17008.06891254 -12333.44698369  22005.99234294 -18521.16331515
  -1269.77871952  17235.51864731 -21854.59051178  -7217.06862701
 -15521.0327997   -1858.86047007   8046.94182653  -2312.04304802
   -228.74916379   6664.26510144  10140.03580328  14384.92934954
  16412.34078073 -11861.07772364  13292.60762567 -22261.58667431
  13683.5730723  -13526.37543543    891.64774008 -13700.44873181
 -16715.40689012  19693.96407741   5473.43014848  16360.02877656
   8079.80732978   -357.70498986  -7791.75552884 -10248.53818867
  -4231.18892927  16317.01735145  30722.89900638   6087.02186816
  -6206.95059446   4317.8313073     251.78210458   4952.68924863
 -11453.81264998  -8970.8516103  -21253.7507656   13262.62814758
  -3883.57744743  -9121.53588902  -8504.41081132 -19786.87400035
  -7280.12871594  15252.77329649   1602.56356318  -8962.45255593
  21667.94703974 -19684.83771761  -2412.79288568   4784.86063133
  -3455.77508072   7482.42631674    788.13242576  -6657.27890172]"
167,DMZ,"[-10777.23903185  -8430.69914924  11749.85144391  21756.9865113
    315.89666476   1980.25453049  -1542.71897236  -7076.71246886
   9644.59900109 -11562.27965126   4171.53917873  19782.97898906
  -4228.83414666   1482.64323347   1744.48899611  -5521.18664432
   4087.89545233  -8732.65184381   4854.16894191   5021.02801476
   4341.98346535   4667.52347302 -28987.81616108  -1630.03376526
  10208.46060795  -8192.08659323 -15236.91195854  10057.94622616
  23020.22193322  -2212.5195186   -7100.24404432  15821.05956198
   8111.91802705 -12721.70345642   1502.02412973   1901.41024622
   6599.96381896  12995.44914665   2670.41032126  11585.48270395
 -21137.90233513 -18032.7337384   15903.77934048  -3969.40978519
  -6783.17095495  14245.42962606 -13045.4621194  -15475.17453057
 -13810.05371802   6777.16487499  -3523.31033629   3332.29223665
   1275.99909477   5497.87130091   3278.40130115  -4939.83549924
  11357.98886497  -6831.97440843  12083.65373606 -18074.05955037
   7519.4949799   -9015.96481016   4252.76639186  -8994.48567985
 -16803.14741794  13849.3070801    3737.97350079  20722.09852744
  -1172.32273397  14055.63461294  -9967.20878875 -12316.49600088
 -11018.84624632  13911.65231639  20151.46429329   1950.59907486
 -20693.43653426   6764.41387208 -10425.82041515   9295.24922196
 -13139.42806763   -618.83487284 -22014.13680973  12388.84834375
  -8356.98551808  -6235.61824585  -9743.36916642   -106.55381108
  -6009.10373909   9891.78086756  -5678.37493872  -4288.39644335
   6808.09749599 -21055.10781165   7524.59098477  -5331.87633851
  -1845.75772822  10348.96862553   6972.11911907 -22541.07663232]"
168,탄소섬유,"[-12906.19385507 -23366.11640487   2471.53653166  25315.89645489
  11957.90496194  22918.50458876 -11089.12080578 -19196.22156665
  -8655.88138747   4738.09270984  18801.20858639  -2213.28490186
  17982.79075706   -148.52370289 -17832.19012645   1836.32644959
   4003.49291017   5705.9921854   28994.03499009   -227.31442429
  -7560.33695793   1060.83973671   9109.92847079  -8145.89843238
  -2647.44791782   3473.00876299  -3602.61195347   5016.30176298
  22073.40683622  -9013.9649584    7542.74296691   1643.70651987
   8154.47220263 -11361.80026937  -3001.84137975  -9491.39091655
  11891.99044847 -15202.44622481  -3339.62145967  12436.61224337
 -19722.36800447  -7426.60460739  12184.36224144 -25533.14566053
   4623.3442696   25395.60314632 -21489.37229059   7892.34796583
   2682.50927134  -5846.07178415   8403.27610073 -16402.06663823
   -194.80481771  -1262.22179152  -7565.52642999  -5831.5671994
  10785.14870575   -327.55095473   5528.78328347 -23309.73371409
  -7546.73255106 -24111.65526676  -4835.45628324   -390.26301819
  -1853.88520232  21077.04443918   3642.96971295   6943.70361358
   2986.24542749  -7756.74421308   1259.93895847  -5911.85464342
  -1246.30435898  13552.59888059  15923.11093904  -7171.22414816
 -25285.3218717    2029.94403513   6496.76288106  -2126.55572684
  -3427.29631042  -1824.89966252 -13195.51488452   6578.76133657
   3155.56935454   2428.22300689  -4371.14519988 -30375.84890221
  -3841.70713783  20316.7910102   21221.46552768  -7973.98000139
   3834.24740048   9303.38664387   4709.5713898    9884.08190856
  11562.85661096  16697.97407891   4522.93771675  19329.67194163]"
169,짐 로저스,"[-7.99424051e+03 -5.64165646e+03  9.11896175e+03  1.85122207e+04
  9.46545250e+03  1.17606461e+04  1.12200125e+01 -8.46127296e+03
 -8.96730008e+03 -6.36392821e+03 -1.18841698e+03  1.12498145e+04
  6.96523583e+02  3.86930842e+03 -7.21793491e+03 -3.58025290e+03
  6.92941634e+03  5.44710784e+03  8.87247810e+03  8.35256385e+03
  2.29552110e+02  7.83503855e+03 -8.93434791e+03  2.54716890e+03
  9.54070368e+03  1.13373452e+03 -1.70322268e+04  1.63541426e+04
  1.06084926e+04 -1.00499830e+04  9.33210118e+03  9.45242254e+03
  6.02638516e+03 -4.22808882e+03 -1.44390050e+03 -9.49744571e+03
  7.45501674e+03  2.69663458e+03  6.37357530e+03  7.40333481e+03
 -1.42798476e+04 -1.39458382e+04  1.77215935e+04 -2.37526183e+04
  1.34804421e+03  5.85857029e+03  1.76088067e+03 -1.09977448e+04
 -2.11832033e+04  9.35170308e+02  4.74350618e+03 -3.92385204e+03
  9.70732592e+03 -5.71426818e+03 -8.45641718e+03  1.11114840e+03
  1.21684158e+04 -9.10048949e+03  7.78007907e+03 -1.50896749e+04
  6.59564086e+03 -6.21055622e+03  8.78824991e+03 -6.63761112e+02
 -1.22266644e+04  2.01730466e+04 -1.35022928e+03  1.72125232e+04
  5.14371122e+02  8.57794852e+03 -2.13897156e+03 -6.83889098e+03
  2.44577844e+03  1.80198351e+04  1.24840934e+04 -1.14108061e+04
 -2.13992354e+04  3.55983939e+02  3.53182968e+03  4.77597812e+03
 -1.42154429e+04 -4.43385531e+03 -9.87761603e+03  1.43460888e+04
 -4.88995144e+03 -4.70133177e+03 -1.04898241e+04 -6.93430469e+03
 -9.17522450e+03  1.35161114e+04  4.65030105e+02 -6.25471856e+03
  7.85415619e+03 -6.58011881e+02  1.77471829e+03 -2.64398739e+03
 -2.17579255e+03  1.37670125e+04  5.22425151e+03 -7.20068630e+01]"
170,덱사메타손,"[-13955.78309858 -10222.06649506   -693.21418473  12302.91440715
    271.86230341  11857.30710056   7738.93857126  -9829.45682598
     52.36428436 -23034.15713772  -6030.70608953  -3049.65233479
  16958.9400485   11675.68251314  -5884.11437326  11015.26746173
  -7808.66099645   -234.76182858  27126.90211157    196.79605439
   4727.81827086  -7339.15064348  -2166.57865351  14191.76765052
   2150.60374041  -3618.50582024 -11796.97869889   4876.56493442
  23910.45141638 -12908.29510811  -9256.86605152   3484.54041524
  28890.69738271  -9910.63920544   2538.88028081  11851.85849958
   1757.28117446  15006.55774107   5851.28539845  12547.32367342
     85.94842699 -16421.69397391  19109.92026746  -4017.55431545
 -16602.15762668  -5025.17522837 -13216.62744936   1106.629237
   7266.69859455   2003.32330534  15702.10044833  12871.19999127
  -9639.49898007   4007.8746141   14139.05060531  -3040.2955822
  -4284.97698644  -5292.37179402   2114.77368307 -11736.11232785
  15738.36167892 -12517.8042573   -1313.28637907  -5204.07306332
 -15322.94677534   5820.23861102  -1843.53577812  -4450.51504652
 -23746.39156767   2179.38326071   2430.11750903  -4451.45019368
  -2606.13820822  22080.7377002   19033.88259351  16275.98833019
 -13182.72591034  17736.03733254 -22749.53312978  -8611.66860748
 -17683.80133794 -15903.85495326  14953.47358347  12813.08090241
  14321.38094719   1398.60328792 -24200.82532495   -579.85376862
  -1165.18502648  -1398.77009317   7033.62987267 -22849.98836803
   1794.20971141  -1120.15559995  -4959.62260547   6207.83110598
  21159.5918288   15223.5861771    6336.41464677  -7910.41978602]"
171,남북철도,"[-22309.54325151 -13364.43911366  29200.5468768   38698.1226463
 -11847.18821673  12314.46670091   1955.32953737  -2002.31951648
  18805.89148756 -16561.53735583   1206.58070104  33703.92340071
  -7422.16486705   1512.46022313  -8096.97328637 -11916.91711515
   8593.53111989 -14908.23617883  18901.37953122   5676.32899753
   5605.22332739  24469.66913537 -33031.83563717  -8003.09755318
  15266.07668308   -594.26278738 -35751.63676471  13464.72567659
  41391.68822501  -9818.69840582   6146.04661903  29835.35866884
  23692.67152289 -16385.03413172  -6579.70378501 -13756.74470443
  21699.35810935  24487.48337026   8509.58772799  21314.16505811
 -36260.99234436 -43312.03041899  24695.19633236 -19393.32093003
 -15283.902516    14434.68582881 -22126.73470318 -32776.37748706
 -41548.80561818   4186.46939663  -6049.35973652  -2139.70075667
   8335.1007489   13644.05897712   3528.69484645  -4651.14988134
  29616.64467345  -4975.72848673  30056.1163528  -30325.15080781
  21974.59425718  -8123.0779063    7295.67444947 -20665.46091675
 -32804.72735026  41693.64569331  14698.24716355  42438.39126587
 -12608.12767082  27692.3420937  -23720.70211845 -20553.7509061
 -18274.06661675  30860.85181764  34590.20255732  -1480.15848873
 -16560.91564763  20205.99656495 -20285.38030153  11032.3358034
 -24351.90067441  -5861.57624829 -35201.9745473   27914.21952691
 -13060.19530282 -18827.02014871 -14485.27059138  -9638.60144949
  -7061.8941325   35259.29664766 -13185.38051127   1494.12171723
  21336.05372455 -35408.95614535   5873.74894698   -132.04873897
  -5961.24711621  12071.00990844  13768.49339365 -33120.14355881]"
172,클로로퀸,"[-13229.40839104  -7289.54523835  -1586.83501644  12595.07490609
    475.4028395    7167.4281813    1178.77135358  -8800.28621298
    -66.75503002 -24971.76802322  -9201.99281574   2560.22471114
  13638.52746704  18568.22371234  -2280.73245591   6476.02773031
  -7963.69060533   1772.39961551  23248.8389716    1714.96561234
   4077.15816192  -5452.18844194  -4165.24696144  15970.11859204
   4141.62132363  -2834.83920371 -12991.08366485   3722.4713665
  24513.24710339 -14378.77619674 -14278.99321886   4256.22720446
  21720.59735266 -12179.52876419   3853.21818287  16182.86020171
  -1995.72176311  15722.40854295   8713.11015084  11069.13373876
   3270.2026069  -14189.49280483  20378.90919938   -591.65674566
 -14585.09415864    870.97505056  -7345.70103118  -2684.34412973
   2099.33712797   2636.7060289   16320.81662613   7414.67474466
  -5465.95161326   -796.92198897  14763.64244523   2979.80707798
  -2925.04791716  -5854.7156627   -2327.60946336 -10639.53540389
  14831.18963215 -13392.73013076  -4674.08268647  -4916.2144452
 -19083.53578942   9973.02167002  -5001.10307368  -2537.57258172
 -19719.60231825   5055.22472149   -215.92027644  -4795.02095716
  -4151.57402016  23817.39480399  23368.9584426   14969.00982007
  -8554.51281261  13127.07299472 -18351.35344689  -2588.76214837
 -14410.71802329 -13043.96320189   9085.49830076   8376.13939561
  12466.17208126   2449.212256   -27487.73141546    407.00925531
  -1926.1587812    -752.76618371   2265.69616381 -21026.204011
   2504.67600368 -10110.95365073  -2563.1180354    7089.1837768
  21210.33250381  17256.26226268   9529.33430787 -13480.31536068]"
173,렘데시비르,"[-15996.63193229 -14337.94715791   1131.16500576  21255.38861629
   1449.31719222  13284.56780221   6148.17513826 -12129.87622686
  -3349.87324517 -25836.60798577  -6491.27242708  -8687.72330089
  17131.9309127    9901.76284142  -5825.64806222   5698.33353156
  -7501.12489947   -641.21455917  29229.91791577  -1428.7418557
   7132.63934994  -4534.03829518  -2193.1909234   16238.75673151
   1942.12499414   4492.45366013 -14361.69922174   5910.84229586
  25783.25461647 -13834.14368228 -13718.56295505    309.01744216
  21102.44760097 -11960.49228863   3488.99243721  12079.7623506
   2002.50594687  12614.77692293   4908.516463    12732.5069279
   -140.33244924 -12513.03354437  22583.00923865  -3547.79010976
 -16814.38678719   -727.90150496 -18782.69906947   1857.30373253
   3357.50593429   1393.36386968  13140.64078495  12865.38703406
  -5565.59813      2844.53812275  11674.20163824  -4553.88729892
  -8160.01353233   1249.94988939  -5391.20392005 -21574.16442168
  17024.92509842 -13957.5054851   -7826.36692161  -4943.65347171
 -20738.26695692   5583.40700348  -3830.91458596  -6785.06179629
 -23413.4957235    3623.36620705   7200.21206178  -3819.24499827
  -4879.33703174  28133.02428402  22558.65914405  14212.08053934
 -11479.58057247  12712.0412117  -19466.16594371 -11777.23915272
 -17583.22325374 -14779.88323496  16465.83643229  13677.45103191
  15664.89957613   3185.58859409 -23467.19821159  -5699.08712068
    652.54961549   4591.01479158  10052.58627048 -25014.90360204
    212.82913229  -1316.30400114 -10886.78455766   7178.48663023
  23929.81488602  19990.48326713  13298.34424049  -6824.36125555]"
174,이뮨메드,"[-1.40853725e+04 -2.01837382e+04 -2.58051936e+03  1.96223580e+04
  3.37654891e+03  1.61098435e+04 -1.30565114e+02 -1.38102193e+04
 -7.03024517e+03 -1.59446870e+04  1.78431606e+03 -5.88155730e+03
  2.02595583e+04  8.51917496e+03 -5.98056359e+03  9.88393139e+03
 -5.27654282e+03 -1.70077087e+03  3.15556237e+04  7.40780054e+03
  6.43466458e+03 -3.42016429e+03 -6.22862807e+03  1.42361487e+04
  4.88696976e+03  1.30895463e+03 -8.94243639e+03  3.09818662e+03
  2.83131814e+04 -8.42497341e+03 -1.12111192e+04 -4.02558171e+03
  2.27496629e+04 -4.76924573e+03  1.98116591e+01  5.08793648e+03
  2.22925047e+03  1.05589718e+04  3.00128600e+03  1.14167191e+04
 -6.15281281e+01 -5.01819374e+03  1.81069857e+04 -7.43909668e+03
 -1.39571609e+04  2.10740411e+03 -2.17581912e+04  4.66030154e+03
  5.04129691e+03  1.89063699e+03  1.24385410e+04  1.04747823e+04
 -2.46377592e+03 -4.26467223e+03  1.03326023e+04 -1.55930936e+03
 -4.75244984e+03  1.83068567e+03 -9.81522934e+03 -1.88678066e+04
  1.60214497e+04 -1.98171920e+04 -1.49602645e+04  3.23055166e+03
 -1.46650207e+04  1.58357663e+04 -1.95106905e+03 -8.64425599e+03
 -2.15133730e+04  2.91198984e+03  8.24198024e+03  1.57509339e+03
 -7.60465998e+02  2.97542188e+04  2.66700291e+04  1.37522822e+04
 -1.03870947e+04  1.12158677e+04 -5.80169440e+03 -9.79064235e+03
 -2.03338375e+04 -9.55411316e+03  2.21962350e+04  9.29441578e+03
  1.71157517e+04  6.60594538e+03 -2.50732249e+04 -9.60784987e+03
  3.10240928e+03  3.08720065e+03  1.24016060e+04 -2.01354459e+04
 -8.67950483e+03  1.15115731e+03 -8.40171481e+03  1.14362494e+04
  2.18394747e+04  2.31643504e+04  1.38219276e+04  2.18379110e+03]"
175,언택트,"[ -6505.67832396 -22107.83155787  17543.63696466  14945.32707718
   6270.54301093   5123.67502934    976.87910585 -16111.7824498
  -8056.96589818   7426.05113506   9485.32072942   4396.0709146
   5202.35851624  12805.73575498  -9002.82045684  14609.37467979
   2149.22018977  -4856.67422827  15544.48004781  12429.4867548
 -11971.69326679   6055.75793342  -2184.02524996  -1589.06091149
  11045.21171118  -6823.15543322  -2896.48674279  14435.25319368
  10258.91111252  -9546.78132315  13675.96522846  -3503.26324732
  13342.04465106   2882.95419204  12775.06911825  -5057.35707549
  10895.59756253   1492.152984    11208.48620356  11200.51208453
 -21938.6243702   -4739.45092818  11959.47969762 -13464.76846037
    841.9046146    8678.50666184  -8656.74937317   3084.59341597
    643.73996354  -1650.75405006   2587.47855623 -13288.97660835
   1131.53055544 -10507.62205992  -6701.51610314   9541.44707932
  20941.20724983   6690.28557816  10444.31015757 -21127.80492882
  -1830.00040368 -16302.29196863  -2270.1215339   -2011.50645742
 -18170.20697435  29630.76116896  -3706.78846489   -283.35187837
  13244.16131305  -4486.69822645  -5015.92349619 -17364.71381318
   7706.22500194  18234.07606593  12374.03255937  -7182.26907478
 -17888.54816221    435.31190466  12183.22941397   1193.4428066
 -15108.06996784 -10142.18842486  -1247.04693445  -1364.46178501
   4362.825575     1498.55591807 -20002.58038853 -17698.41627314
  -3930.76190826  18907.66119135   9396.68299633 -16152.85031632
   6315.79270182   7769.72019739  -2535.83798806   3144.65580905
   2143.16459417  12196.69355153  -2951.43627061  -1166.79861867]"
176,나파모스타트,"[-10464.98386183 -19715.92371127   1454.09495967  15083.8190631
   3248.34197913  19948.95149033   -907.2078668  -14307.35293815
  -7193.07054951 -21147.40515649  -1901.83631718  -4752.77274796
  18996.88845281   6874.74278845  -6908.88358286   3035.14844877
    -54.91259964  10394.8837965   28416.54241964   4732.05832931
   4792.50451252   -834.69451011   1743.32916801  17450.82820714
   2003.13094067   7088.90031534 -10636.87167103   4801.64897652
  25551.42604597 -13593.23073998  -7872.78137045  -6783.65148929
  15040.0935655  -12458.14754736  -4007.76871375   4275.77782801
   -284.05533143  10090.37544644   9114.80401841   6782.28308728
   3125.51911079 -10172.44976526  22027.40400034 -10166.51735021
 -10948.50901619   2500.02516946 -12013.15431918   1857.94353166
   7199.04820929   8535.06035837  10920.27230986   7767.93911325
  -1934.96759247   2418.05005387  11149.08858094  -9383.46501333
  -4800.62806208   4274.02689259  -6562.35020869 -20303.50619922
  13702.36385554 -16394.60132292 -10235.27300957   3834.19004022
 -18428.53080845  10577.52357737  -1489.44302098  -4719.17017208
 -23120.79771123   1340.19913375   2955.39665731   1467.42665588
   1565.71950449  21635.03344133  23748.40581514  10024.23735708
 -14595.48122674   8946.42362272  -9673.63258905 -10949.73514321
 -20727.9719512   -9466.64298227  17023.39119562   7498.60609038
  16021.4486538    6800.1069481  -17351.24800012  -5522.51591842
   1603.04833935   3352.73604194   9676.13103624 -20768.71338982
  -6436.32205181   6219.35804915  -5250.87657356  12640.04364742
  16673.48544333  18042.85949392   9929.06710327    322.93034359]"
